--- Product ---
id,name,description,shortDescription,imageBaseUrl
id,name,description,imageBaseUrl,shortDescription
1,Mochila 'Elegancia',"Una mochila moderna y espaciosa en un sobrio color gris oscuro. Su diseño funcional incluye múltiples compartimentos con cremallera y líneas reflectantes en la parte frontal y en los bolsillos laterales, ideal para la seguridad nocturna. Las correas acolchadas aseguran comodidad durante todo el día.",https://bacpak-products.s3.us-east-2.amazonaws.com/b2a7589d-7b24-4f51-b8f9-9a7c36c641a9.png,Una mochila moderna y espaciosa en un sobrio color gris oscuro.
2,Mochila 'Aventura',"Una mochila audaz y deportiva en un llamativo diseño de dos tonos: azul marino y rojo. Cuenta con un gran bolsillo frontal con cremallera y bolsillos laterales de malla. Es una opción práctica y estilosa para la escuela, el trabajo o actividades al aire libre.",https://bacpak-products.s3.us-east-2.amazonaws.com/c5d18a1a-4e2b-4e8c-85d7-45b7367c3b1d.png,"Una mochila audaz y deportiva en un llamativo diseño de dos tonos: azul marino y rojo. "
3,Mochila 'Urbana',"Una mochila vibrante en color rojo con un bolsillo frontal de contraste en amarillo mostaza. Su diseño único de hebilla de clip central y múltiples compartimentos con cremallera la hace perfecta para el uso diario en la ciudad, combinando estilo y funcionalidad.",https://bacpak-products.s3.us-east-2.amazonaws.com/c6e3b0b7-8d8a-4c29-8e93-9c86a32d667c.png,Una mochila vibrante en color rojo con un bolsillo frontal de contraste en amarillo mostaza.
4,Mochila 'Expedición',"Una mochila robusta de carga superior en un profundo color azul. Su solapa superior se asegura con una hebilla de clip de metal, y cuenta con un gran bolsillo frontal y bolsillos laterales de malla para almacenamiento adicional. Perfecta para viajes largos o caminatas.",https://bacpak-products.s3.us-east-2.amazonaws.com/9a5a3150-5b12-4c28-98e8-b7c1265b40d7.png,Una mochila robusta de carga superior en un profundo color azul.
5,Mochila 'Clásica',"Una mochila amplia y robusta en un sobrio color azul marino. Presenta detalles sutiles en cremalleras doradas y un distintivo parche de cuero en la parte superior. Con un diseño de múltiples compartimentos y bolsillos de fácil acceso, es perfecta para llevar un portátil, libros y otros artículos esenciales.",https://bacpak-products.s3.us-east-2.amazonaws.com/1a783617-38b8-4c8a-9f0a-4a2592a8d3e9.png,Una mochila amplia y robusta en un sobrio color azul marino.
6,Mochila 'Marítimo',"Una mochila ligera y versátil con un vibrante tono turquesa. Destacan los detalles en cremallera amarilla y la base reforzada en azul marino. Equipada con correas ajustables y múltiples compartimentos, es ideal para el uso diario, la escuela o escapadas al aire libre.",https://bacpak-products.s3.us-east-2.amazonaws.com/c7a1d5a9-3d12-4e4b-b0b9-2c78a994c65e.png,"Una mochila ligera y versátil con un vibrante tono turquesa. "
7,Mochila 'Táctica',Una mochila funcional de color gris oscuro con un gran bolsillo frontal de contraste en verde oliva. El diseño incluye correas frontales para sujetar equipo adicional y bolsillos laterales de malla. Ideal para quienes buscan un estilo utilitario y moderno.,https://bacpak-products.s3.us-east-2.amazonaws.com/7a151b68-6364-4e4b-97e3-085e7960d7b1.png,"Una mochila funcional de color gris oscuro con un gran bolsillo frontal de contraste en verde oliva. "
8,Mochila 'Verde Vital',"Una mochila de carga superior en un llamativo color verde lima. Su diseño incluye una solapa superior con hebilla de clip y un espacioso bolsillo frontal con cremalleras dobles. Ligera y resistente, es perfecta para viajes o el día a día.",https://bacpak-products.s3.us-east-2.amazonaws.com/d5a840e6-5f5c-4d37-83c7-434a9466c4a8.png,Una mochila de carga superior en un llamativo color verde lima.
9,Mochila 'Energía',"Una mochila de color naranja brillante con un bolsillo frontal de cremallera. Su diseño simple y directo, con un parche decorativo en la parte superior y base negra, la hace una opción moderna y llamativa para cualquier ocasión.",https://bacpak-products.s3.us-east-2.amazonaws.com/a9c1234b-4a5a-4b96-b0e6-6c84c8a0b12c.png,"Una mochila de color naranja brillante con un bolsillo frontal de cremallera. "
10,Mochila 'Explorador',"Una mochila de gran capacidad en un llamativo contraste de azul marino y rojo. Su diseño de carga superior cuenta con una solapa y múltiples hebillas de clip. Los amplios bolsillos laterales y el compartimento frontal brindan un amplio espacio para organizar todos tus artículos, ideal para grandes aventuras.",https://bacpak-products.s3.us-east-2.amazonaws.com/5038011f-c777-4a95-9ff1-12282e587e82.png,Una mochila de gran capacidad en un llamativo contraste de azul marino y rojo.
